sku,product_name,category,unit_cost,unit_price,base_daily_demand,spring_boost,lead_time_days,supplier_region
SKU1028,Flowering Shrub Variety 10,Flowering Shrubs,11.39,25.31,4.230769230769231,3.0,14,Southeast
SKU1029,Flowering Shrub Variety 11,Flowering Shrubs,28.86,64.13,4.230769230769231,3.0,14,Midwest
SKU1030,Flowering Shrub Variety 12,Flowering Shrubs,13.08,29.07,4.230769230769231,3.0,10,Southeast
SKU1031,Flowering Shrub Variety 13,Flowering Shrubs,33.9,75.33,4.230769230769231,3.0,14,Texas
SKU1032,Privacy Hedge Variety 1,Privacy Hedges,18.65,41.44,4.444444444444445,1.8,10,Pacific NW
SKU1033,Privacy Hedge Variety 2,Privacy Hedges,31.06,69.02,4.444444444444445,1.8,14,Texas
SKU1034,Privacy Hedge Variety 3,Privacy Hedges,28.33,62.96,4.444444444444445,1.8,10,Midwest
SKU1035,Privacy Hedge Variety 4,Privacy Hedges,19.96,44.36,4.444444444444445,1.8,14,Southeast
SKU1036,Privacy Hedge Variety 5,Privacy Hedges,52.47,116.6,4.444444444444445,1.8,7,Pacific NW
SKU1037,Privacy Hedge Variety 6,Privacy Hedges,40.16,89.24,4.444444444444445,1.8,10,Midwest
SKU1038,Privacy Hedge Variety 7,Privacy Hedges,19.49,43.31,4.444444444444445,1.8,10,Midwest
SKU1039,Privacy Hedge Variety 8,Privacy Hedges,15.2,33.78,4.444444444444445,1.8,10,Texas
SKU1040,Privacy Hedge Variety 9,Privacy Hedges,43.92,97.6,4.444444444444445,1.8,14,Southeast
SKU1041,Houseplant Variety 1,Houseplants,17.68,39.29,5.833333333333333,1.2,7,Southeast
SKU1042,Houseplant Variety 2,Houseplants,8.31,18.47,5.833333333333333,1.2,7,Pacific NW
SKU1043,Houseplant Variety 3,Houseplants,24.58,54.62,5.833333333333333,1.2,10,Pacific NW
SKU1044,Houseplant Variety 4,Houseplants,19.58,43.51,5.833333333333333,1.2,14,Texas
SKU1045,Houseplant Variety 5,Houseplants,11.17,24.82,5.833333333333333,1.2,10,Pacific NW
SKU1046,Houseplant Variety 6,Houseplants,17.67,39.27,5.833333333333333,1.2,14,Texas
SKU1047,Houseplant Variety 7,Houseplants,13.97,31.04,5.833333333333333,1.2,21,Southeast
SKU1048,Houseplant Variety 8,Houseplants,11.37,25.27,5.833333333333333,1.2,10,Texas
SKU1049,Houseplant Variety 9,Houseplants,13.89,30.87,5.833333333333333,1.2,10,Pacific NW
SKU1050,Houseplant Variety 10,Houseplants,17.09,37.98,5.833333333333333,1.2,10,Southeast
SKU1051,Houseplant Variety 11,Houseplants,20.77,46.16,5.833333333333333,1.2,7,Texas
SKU1052,Houseplant Variety 12,Houseplants,25.84,57.42,5.833333333333333,1.2,10,Texas
SKU1053,Succulent Variety 1,Succulents,7.6,16.89,8.125,1.1,7,Pacific NW
SKU1054,Succulent Variety 2,Succulents,13.13,29.18,8.125,1.1,7,Pacific NW
SKU1055,Succulent Variety 3,Succulents,10.65,23.67,8.125,1.1,7,Texas
SKU1056,Succulent Variety 4,Succulents,3.97,8.82,8.125,1.1,10,Pacific NW
SKU1057,Succulent Variety 5,Succulents,7.67,17.04,8.125,1.1,7,Texas
SKU1058,Succulent Variety 6,Succulents,12.59,27.98,8.125,1.1,7,Pacific NW
SKU1059,Succulent Variety 7,Succulents,8.86,19.69,8.125,1.1,10,Pacific NW
SKU1060,Succulent Variety 8,Succulents,6.0,13.33,8.125,1.1,14,Midwest
